Int         Integer     Bit         Bool
0.005642    0.005995    0.005617    0.005491
0.00545     0.006076    0.006139    0.00218
0.006188    0.006773    0.006769    0.002396
0.007246    0.006529    0.007081    0.002552
0.009289    0.007326    0.007936    0.002774
0.012825    0.008999    0.00979     0.003195
0.016882    0.00941     0.009785    0.003717
0.016693    0.013891    0.010621    0.004451
0.012363    0.018409    0.004784    0.005129
0.020026    0.036597    0.005919    0.006012
0.029527    0.006757    0.011273    0.007308
0.044648    0.014862    0.010435    0.015354
0.064058    0.012472    0.021123    0.009627
0.092079    0.028135    0.006799    0.011108
0.162819    0.104062    0.012684    0.013726
0.167215    0.080846    0.008327    0.016228
0.282354    0.069479    0.028071    0.018919
0.346084    0.451159    0.017524    0.022613
0.465533    0.411348    0.030192    0.024904
0.636291    0.141115    0.021745    0.030016
0.918349    0.55126     0.017825    0.034265
1.311876    0.871794    0.028168    0.03866
14.064756   0.221787    0.050978    0.043439
16.891941   2.046306    0.033431    0.061198
17.594419   1.594697    0.040687    0.074715
18.685528   2.404057    0.104787    0.069374
20.242168   0.898406    0.0424      0.078663
22.017328   0.815403    0.042787    0.081858
24.404897   6.016117    0.05719     0.093067
27.544331   5.269327    0.059878    0.118248
30.470859   8.669346    0.078723    0.127935
NA          3.642036    0.058303    0.129909
NA          13.689227   0.072679    0.142595
NA          21.378652   0.18064     0.163275
NA          13.689201   0.088811    0.162736
NA          26.310393   0.08613     0.222074
NA          49.19277    0.14336     0.242117
NA          NA          0.066547    0.40454
NA          NA          0.081954    0.289204
NA          NA          0.162048    0.318695
NA          NA          0.238183    0.370725
NA          NA          0.147749    0.385917
NA          NA          0.112306    0.411371
NA          NA          0.273624    0.450806
NA          NA          0.09132     0.453849
NA          NA          0.290988    0.497141
NA          NA          0.263993    0.609726
NA          NA          0.56429     0.754558
NA          NA          0.191327    0.638617
NA          NA          1.338299    0.807299
NA          NA          0.331533    0.863043
NA          NA          0.316606    0.902972
NA          NA          0.507091    1.046922
NA          NA          0.385832    1.008726
NA          NA          0.452188    1.144921
NA          NA          0.328511    1.129471
NA          NA          0.431357    1.189694
NA          NA          0.166626    1.252521
NA          NA          0.443322    1.473311
NA          NA          0.468443    1.396724
NA          NA          0.652006    1.439331
NA          NA          0.62645     1.572113
NA          NA          0.427237    1.608096
NA          NA          0.739647    1.736084
NA          NA          0.346427    1.837981
NA          NA          0.469436    1.91221
NA          NA          0.608926    1.975046
NA          NA          0.864375    2.164985
NA          NA          0.820736    2.248661
NA          NA          0.672544    2.375392
NA          NA          0.411794    3.054065
NA          NA          1.207484    3.300916
NA          NA          0.712715    3.26463
NA          NA          1.517148    3.378918
NA          NA          1.555359    3.448186
NA          NA          1.182924    3.653274
NA          NA          2.490046    3.805649
NA          NA          2.088349    3.963682
NA          NA          1.124907    4.139991
NA          NA          0.571628    4.357767
NA          NA          1.488719    4.488858
NA          NA          3.724572    4.78595
NA          NA          1.606035    4.917484
NA          NA          1.869217    5.254082
NA          NA          0.999473    5.441845
NA          NA          1.830042    5.710508
NA          NA          2.081816    5.801579
NA          NA          3.007148    6.053856
NA          NA          1.423       6.289562
NA          NA          3.729574    6.411406
NA          NA          1.339893    6.622831
NA          NA          1.077643    7.026363
NA          NA          2.091731    7.286309
NA          NA          2.046428    7.577096
NA          NA          1.541523    7.904683
NA          NA          1.8866      8.307635
NA          NA          3.276221    8.94488
NA          NA          5.200782    8.800832
NA          NA          1.046749    9.191781
NA          NA          2.801011    11.380386
NA          NA          2.81444     12.01827
NA          NA          1.489536    12.016729
NA          NA          2.636957    12.877004
NA          NA          1.849859    12.963134
NA          NA          2.555048    13.522715
NA          NA          4.886835    14.263207
NA          NA          6.130494    14.658162
NA          NA          4.854047    14.80116
NA          NA          3.735326    15.228878
NA          NA          3.466449    15.507646
NA          NA          6.868053    16.864163
NA          NA          5.423053    16.687039
NA          NA          3.999921    17.040792
NA          NA          3.670407    18.86004
NA          NA          3.806179    18.198883
NA          NA          4.8026      19.423325
NA          NA          2.995615    19.317782
NA          NA          5.857826    20.250773
NA          NA          4.528862    20.618693
NA          NA          128.789475  20.969928
NA          NA          NA          22.423146
NA          NA          NA          22.473668
NA          NA          NA          22.612117
NA          NA          NA          23.281444
NA          NA          NA          23.684688
NA          NA          NA          24.961706
NA          NA          NA          25.795613
NA          NA          NA          26.204288
NA          NA          NA          27.172222
NA          NA          NA          27.909112
NA          NA          NA          28.542763
NA          NA          NA          29.417337
NA          NA          NA          30.482497

